word,occurence
充電,101
手機,88
收納,81
遊戲,77
音樂,76
模式,71
防水,69
孩子,64
環保,64
無線,63
支援,60
天然,59
布料,58
電池,58
保固,58
運動,55
透氣,53
抗菌,53
細菌,53
清潔,53
專利,52
文化,52
玩家,51
自動,51
創作,51
矽膠,49
拉鍊,47
藝術,47
肌膚,46
纖維,45
筆電,45
活動,45
口袋,45
分鐘,44
咖啡,44
舒適,44
背包,44
檢驗,43
空氣,43
學習,42
成分,42
旅行,42
殺菌,42
物品,41
原價,41
報告,41
輸出,40
安裝,40
智慧,40
螢幕,40
桌遊,39
回收,39
空間,38
動物,38
作品,38
經典,38
小時,38
清洗,37
解鎖,37
教育,37
裝置,37
紫外線,37
系列,36
課程,36
寵物,36
口罩,36
傳輸,35
認證,35
金屬,35
精油,35
科技,34
連接,34
容量,34
支架,34
商品,34
過濾,34
磁吸,33
包包,33
社會,33
攝影,33
故事,33
材料,33
公分,33
機能,33
防疫,33
病毒,33
時尚,32
市價,32
聲音,32
耳機,32
日本,32
機身,32
智能,32
快充,32
韓國,32
皮革,32
明信片,31
健康,31
不鏽鋼,31
潑水,31
充電器,31
工藝,31
減壓,31
角色,30
操作,30
風味,30
售價,30
測試,30
藍牙,30
設備,30
戶外,30
大學,30
功能,29
階段,29
植物,29
拍攝,29
配戴,29
異味,29
消毒,29
插畫,29
新型,28
料理,28
相機,28
地球,28
音量,28
臺灣,28
回饋品,28
萃取,28
食品級,27
海洋,27
玻璃,27
顯示,27
系統,27
體積,27
老師,27
公克,27
保濕,27
背帶,27
吸管,26
影像,26
營養,26
晶片,26
保養,26
支撐,26
切換,26
保護,26
醫療,26
限量,26
手工,26
有機,26
濾網,26
貼紙,26
麥克風,26
香氣,26
配件,25
收納袋,25
食品,25
優惠,25
塑膠,25
藍芽,25
功率,25
配方,25
平板,25
角度,25
衣服,25
維修,25
加購,25
食物,25
按摩,25
睡眠,25
限定,25
奈米,25
畫面,25
循環,25
安全,25
兒童,24
家庭,24
學生,24
設定,24
電腦,24
公益,24
城市,24
桌面,24
音響,24
語音,24
檢測,24
香氛,24
質感,23
組裝,23
食材,23
舒緩,23
夾層,23
衣物,23
服務,23
書寫,23
德國,23
療癒,23
分解,23
彈性,23
表演,23
除臭,23
底座,23
電源,23
方法,23
控制,23
演出,23
主機,23
現省,23
防護,23
皮膚,23
壓力,23
效率,23
充電線,23
鞋子,23
土地,22
訓練,22
鋁合金,22
原料,22
有限公司,22
高度,22
旅遊,22
生物,22
玫瑰,22
可愛,22
輕薄,22
身高,22
卡牌,22
用品,22
鑑賞期,22
柔軟,21
經費,21
協會,21
美食,21
基金會,21
永續,21
集資,21
淨化,21
試驗,21
工具,21
美國,21
友善,21
出貨,21
添加,21
加熱,21
原創,21
資源,21
視覺,21
多功能,21
定價,21
擴充,20
電動,20
中文,20
溫和,20
紀錄,20
眼睛,20
教學,20
展覽,20
穿著,20
行動電源,20
風扇,20
去除,20
輸入,20
鞋墊,20
折疊,20
餐具,20
下載,20
方案,20
疫情,20
組合,20
垃圾,20
面料,20
噴霧,20
脂肪,20
公斤,20
病菌,20
離子,20
專利權,19
海報,19
溫度,19
新鮮,19
機器,19
數位,19
標示,19
發明,19
卡片,19
馬達,19
吸濕,19
貓咪,19
鏡頭,19
線上,19
單位,19
歷史,19
電影,19
播放,19
鞋底,19
試穿,19
設計師,19
舉辦,19
咖啡豆,19
社區,19
桿菌,19
快速,19
電量,19
感應,19
退貨,19
玩法,18
版本,18
長度,18
小朋友,18
攜帶,18
贊助,18
喇叭,18
專屬,18
步驟,18
外接,18
群眾,18
未來,18
酒精,18
燈光,18
材質,18
紡織,18
技術,18
款式,18
電子,18
毛孩,18
日期,18
人體工學,18
作用,18
繪本,18
行李箱,18
偵測,18
摺疊,18
內建,18
獨立,18
尺碼,18
現場,18
預購,18
水分,18
入組,18
肩頸,18
效果,18
結構,18
記憶,18
電壓,18
觸控,18
再生,18
禮盒,18
探索,17
互動,17
台北,17
安全帽,17
變形,17
出門,17
國際,17
按鍵,17
有效,17
飲品,17
孩童,17
學校,17
吸附,17
零件,17
金額,17
測量,17
編織,17
微波,17
實驗室,17
印刷,17
客製化,17
樂團,17
指示燈,17
適用,17
音質,17
電流,17
建築,17
助理,17
親膚,17
透明,17
內含,17
乾燥,17
瑕疵,17
收納盒,17
居家,17
定時,17
線材,17
手錶,17
袖長,17
眼鏡,17
表面,17
身體,17
玩具,16
操控,16
外層,16
中華民國,16
達標,16
弱勢,16
偏鄉,16
狗狗,16
美味,16
廚房,16
蛋白質,16
傳輸線,16
格式,16
蘋果,16
照片,16
導演,16
夢想,16
啟動,16
升級,16
連線,16
專輯,16
隨行,16
排汗,16
退購,16
提醒,16
樣品,16
出版,16
肌肉,16
過敏,16
造型,16
飲料,16
講座,16
放置,16
塗層,16
錄影,16
體驗,16
展演,16
手作,16
製作,16
露營,16
議題,16
供電,16
風速,16
雕刻,16
女孩,16
工作室,16
工作坊,16
鑰匙,16
實驗,16
部落,16
快取,16
直播,16
殘留,16
雙面,16
關閉,16
協議,16
壽命,16
刷頭,16
遙控器,16
公尺,16
森林,16
人體,16
版型,16
薰衣草,16
親子,15
嘖價,15
立體,15
證書,15
政治,15
傳統,15
簡約,15
檔案,15
衣長,15
杯蓋,15
騎乘,15
技能,15
情境,15
黏貼,15
高雄,15
呼吸,15
資料,15
主題,15
耳朵,15
乾爽,15
分離,15
大腸,15
實體,15
輕量,15
頂級,15
紀念,15
抑菌,15
行李,15
陶瓷,15
開口,15
任選,15
低音,15
實木,15
在地,15
觀眾,15
電視,15
藝術家,15
保存,15
任務,15
膠帶,15
品牌,15
創意,15
降噪,15
續航,15
電話,15
長輩,15
歌曲,15
握把,15
肩帶,15
損壞,15
退款,15
調節,15
汽車,15
關懷,15
器材,15
陪伴,15
味道,15
胸圍,15
發霉,15
開關,15
精品,15
外套,15
觀看,15
能量,15
負離子,15
守護,15
衛生,15
優惠價,15
培養,14
小孩,14
平均,14
能力,14
自我,14
機車,14
防盜,14
泡棉,14
保溫,14
首創,14
反光,14
超強,14
目標,14
感謝,14
家人,14
速度,14
儲存,14
保養品,14
媽媽,14
女性,14
植萃,14
國小,14
比賽,14
尼龍,14
牆面,14
面積,14
洗滌,14
雙向,14
先生,14
雷射,14
數據,14
面板,14
上課,14
獨家,14
股份,14
萊卡,14
體重,14
當地,14
工作,14
知識,14
調理,14
放鬆,14
吊飾,14
舞台,14
裝備,14
耗材,14
氣體,14
濃度,14
清淨機,14
專用,14
伸縮,14
單體,14
訊號,14
容器,14
音頻,14
計劃,14
政府,14
正面,14
同學,14
畢業,14
包覆,14
文具,14
短路,14
物件,14
極速,14
滑鼠,14
公升,14
兩用,14
照射,14
通話,14
驗證,14
錶帶,14
動作,14
照顧,14
臀圍,14
鏡片,14
地區,14
臭氧,14
牙刷,14
更換,14
製成,14
穿上,14
鞋面,14
替換,14
滋潤,14
成長,13
內層,13
可拆式,13
行動,13
網路,13
高中,13
救援,13
閃爍,13
飲食,13
字幕,13
轉接頭,13
臉部,13
人物,13
志工,13
企業,13
品味,13
自行車,13
貼合,13
按鈕,13
情緒,13
攻擊,13
移動,13
散熱,13
家電,13
除菌,13
處理,13
軟體,13
迷你,13
精準,13
宇宙,13
水洗,13
防滑,13
記錄,13
募款,13
板材,13
委託,13
葡萄球菌,13
便利,13
內容,13
出差,13
頸部,13
民眾,13
單人,13
原木,13
太陽,13
公司,13
自由,13
直徑,13
氣味,13
產品,13
鞋款,13
減塑,13
防漏,13
聚酯,13
周邊,13
震動,13
鋰電池,13
場景,13
劇場,13
美學,13
個性,13
管理,13
按壓,13
對話,13
收藏,13
無限,13
月份,13
地點,13
旋轉,13
背部,13
超早,13
生態,13
非洲,13
姿勢,13
廢棄,13
暗袋,13
波長,13
超級,13
團體,13
幫助,13
捐款,13
捐贈,13
止滑,13
食用,13
悶熱,13
發貨,13
機芯,13
生命,13
腰圍,13
法國,13
雙層,13
疲勞,13
價格,13
毛髮,13
人生,13
成本,13
時光,13
接頭,13
插頭,13
分散,13
農藥,13
微生物,13
主人,13
刷毛,13
掛繩,12
時代,12
行銷,12
農業,12
費用,12
愛心,12
練習,12
朋友,12
心靈,12
健身,12
清爽,12
化學,12
據點,12
紀錄片,12
資金,12
花蓮,12
模具,12
認識,12
手指,12
好用,12
倉儲,12
園區,12
備貨,12
上蓋,12
主子,12
禮物,12
烘焙,12
電器,12
工程,12
獨享,12
熱量,12
灰塵,12
鑰匙圈,12
法人,12
把手,12
甲醛,12
光源,12
隨身碟,12
音訊,12
介面,12
接口,12
冠軍,12
感謝卡,12
音效,12
擺放,12
入場,12
還原,12
外出,12
沖泡,12
塑料,12
影片,12
湯匙,12
有害,12
擦拭,12
插座,12
機構,12
相容,12
地圖,12
雨傘,12
工廠,12
翻轉,12
等級,12
光線,12
成型,12
全球,12
桃園,12
錄製,12
爸爸,12
定量,12
吸收,12
遙控,12
模型,12
牛皮,12
英國,12
效能,12
魔鬼氈,12
萬用,12
係數,12
防盗,12
敏感,12
耐磨,12
打掃,12
紙張,12
紅外線,12
緩衝,12
參與,12
收音,12
小編,12
粉塵,12
顏色,12
高密度,12
黑色,12
筆記本,12
茶樹,12
橡膠,12
浪費,12
木質,12
擴香,12
寶貝,12
好玩,11
大人,11
玩樂,11
訪談,11
引導,11
白色,11
新品,11
水果,11
吊掛,11
防撞,11
內袋,11
耐用,11
農民,11
範例,11
樂器,11
堅固,11
不適,11
帆布,11
筆記,11
代表,11
穩固,11
頸椎,11
視訊,11
小米,11
筆身,11
文字,11
距離,11
海外,11
語言,11
杯身,11
洗碗機,11
美麗,11
飼主,11
貼文,11
烤箱,11
放入,11
讀者,11
大卡,11
強度,11
蔬菜,11
店家,11
塵蟎,11
花色,11
廠商,11
名字,11
一體,11
市集,11
訂製,11
斷電,11
杯子,11
分子,11
功效,11
靜音,11
購買,11
早鳥價,11
拼接,11
磨損,11
下單,11
研發,11
便當,11
冷凍,11
密碼,11
充電座,11
當代,11
影音,11
動力,11
台灣人,11
社團,11
主動,11
噪音,11
用途,11
多元,11
有線,11
套組,11
退換,11
調整,11
家用,11
圖片,11
招財,11
燈具,11
場域,11
手柄,11
冷卻,11
小包,11
分層,11
鍵盤,11
辦公,11
高速,11
名單,11
核心,11
輕巧,11
平衡,11
學系,11
防腐劑,11
人類,11
固定,11
日常,11
桌子,11
視線,11
光學,11
專案,11
蛋白,11
補充,11
拆卸,11
照明,11
亮度,11
配對,11
不銹鋼,11
環境,11
磁鐵,11
記憶卡,11
畫質,11
氮化鎵,11
輕盈,11
坐墊,11
珍珠,11
機器人,11
降解,11
雙眼,11
強勁,11
書籍,11
房間,11
寶特瓶,11
雙腳,11
香港,11
肩寬,11
充氣,11
滅菌,11
濕度,11
濕氣,11
腳底,11
號碼,11
生活,11
頁面,11
線條,11
重力,11
足部,11
土壤,11
成份,11
分類,11
茶葉,11
污染,11
魔法,11
檢出,11
植鞣,11
列印,11
豪華,11
氣囊,11
方塊,10
軌道,10
隱藏式,10
拆洗,10
專利權人,10
韌性,10
安心,10
傷害,10
指示物,10
戲劇,10
位置,10
文創,10
農場,10
高手,10
協助,10
腳掌,10
口感,10
單入,10
新聞,10
讀取,10
外殼,10
對應,10
附贈,10
醫師,10
市售,10
阿嬤,10
中國,10
台南,10
雜誌,10
計畫,10
平台,10
單車,10
太空,10
寬度,10
重量,10
冒險,10
美術,10
家長,10
規則,10
隱形,10
服貼,10
神經,10
標準,10
鋼筆,10
套件,10
雲端,10
拍照,10
報名,10
習慣,10
手感,10
通勤,10
杯套,10
部位,10
保暖,10
懶人,10
中心,10
加工,10
桌板,10
枕頭,10
公園,10
項目,10
關係,10
雙人,10
接觸,10
舒服,10
樹脂,10
木材,10
圖案,10
辦理,10
社群,10
箱體,10
杯墊,10
元件,10
厚度,10
政策,10
腳長,10
活性碳,10
織帶,10
設計獎,10
理解,10
傾斜,10
畫作,10
會員,10
尺寸,10
圖騰,10
收折,10
場合,10
國家,10
高畫質,10
書籤,10
手沖,10
職人,10
發光,10
自拍,10
少女,10
皮夾,10
錢包,10
防曬,10
修護,10
拼圖,10
感測器,10
愛好,10
穿搭,10
腳架,10
螺絲,10
手提,10
音樂會,10
舞蹈,10
大型,10
企劃,10
國立,10
原住民,10
演員,10
製片,10
場地,10
購物袋,10
隱藏,10
加厚,10
左右,10
場次,10
骰子,10
噴嘖,10
貼身,10
演奏,10
靈活,10
曲線,10
泡沫,10
女人,10
香味,10
開箱,10
黃銅,10
復古,10
毫克,10
維生素,10
超大,10
工作者,10
坐姿,10
內裡,10
耐重,10
型號,10
支撐力,10
進口,10
深度,10
身心,10
口味,10
檸檬,10
提示,10
耐用性,10
設置,10
雙手,10
蜂巢,10
隔層,10
吸塵器,10
床墊,10
承重,10
種植,10
分析,10
水泥,10
募資,10
防風,10
美好,10
幸福,10
汙染,10
自來水,10
洗澡,10
濾芯,10
重金屬,10
毛孔,10
氧化,10
瓶身,10
徽章,10
客製,10
彈力,10
排水,10
動態,10
洗手,10
追蹤,10
名片,10
程式,10
零食,10
清淨,10
姓名,10
節目,10
高山,10
懸浮,10
鑽石,10
顆粒,10
磁吸式,10
濃縮,10
經濟,10
月曆,10
幼兒,9
樂趣,9
提把,9
特色,9
掛勾,9
耐溫,9
質地,9
方便,9
漏水,9
追加,9
回合,9
勝利,9
終生,9
寄送,9
收入,9
自訂,9
干擾,9
高音,9
水箱,9
餐廳,9
攝取,9
耐熱,9
防塵,9
通用,9
總重量,9
總統,9
鼓勵,9
攝影師,9
紅茶,9
內置,9
產地,9
媒體,9
治療,9
元素,9
洗衣機,9
烘乾,9
授權,9
嘉義,9
墨水,9
前往,9
用戶,9
障礙,9
分享,9
頻率,9
保健,9
超商,9
羊毛,9
澳洲,9
抽屜,9
物資,9
傢俱,9
顧客,9
台中,9
團購,9
製品,9
合成,9
飼料,9
木頭,9
精美,9
娛樂,9
廣告,9
民主,9
帆布袋,9
精選,9
登錄,9
藍光,9
填寫,9
風格,9
旋鈕,9
潮濕,9
同步,9
直覺,9
思考,9
全身,9
象徵,9
證件,9
平等,9
行車,9
推廣,9
聆聽,9
彩虹,9
清晰,9
事故,9
變換,9
粉紅,9
祝福,9
台幣,9
拆封,9
排放,9
信用卡,9
發展,9
休閒,9
模擬,9
大地,9
蔬果,9
筷子,9
手把,9
過載,9
發酵,9
垂直,9
底部,9
烤漆,9
痠痛,9
故障,9
切割,9
