word,sum of current price,occurence
充電,147905625,101
手機,178271200,88
收納,165735441,81
遊戲,139183095,77
音樂,96083592,76
模式,244519337,71
防水,167407432,69
孩子,125241321,64
環保,190246530,64
無線,102911328,63
支援,169005562,60
天然,47616576,59
布料,106107219,58
電池,137907458,58
保固,167414488,58
運動,91914745,55
透氣,89762009,53
抗菌,50606456,53
細菌,79193761,53
清潔,131294502,53
專利,80689294,52
文化,82784320,52
玩家,74148319,51
自動,229379279,51
創作,84219840,51
矽膠,120603642,49
拉鍊,94805581,47
藝術,13643602,47
肌膚,23079283,46
纖維,71933546,45
筆電,73470243,45
活動,6452507,45
口袋,82752951,45
分鐘,160828731,44
咖啡,84980905,44
舒適,66472331,44
背包,46420582,44
檢驗,74747557,43
空氣,143194277,43
學習,112457606,42
成分,9169083,42
旅行,51727268,42
殺菌,64764916,42
物品,83886191,41
原價,68102395,41
報告,53445763,41
輸出,74428869,40
安裝,58528848,40
智慧,225703147,40
螢幕,105238337,40
桌遊,55653126,39
回收,135751984,39
空間,36245544,38
動物,61459992,38
作品,49318132,38
經典,55973315,38
小時,58448750,38
清洗,50289359,37
解鎖,108564966,37
教育,40793293,37
裝置,62900760,37
紫外線,57533211,37
系列,68246546,36
課程,24446302,36
寵物,39237132,36
口罩,7583260,36
傳輸,49367448,35
認證,32758893,35
金屬,70961440,35
精油,10649032,35
科技,47474415,34
連接,88432695,34
容量,138945852,34
支架,77483512,34
商品,28796074,34
過濾,73645925,34
磁吸,124456696,33
包包,62987823,33
社會,32117071,33
攝影,58595161,33
故事,30435505,33
材料,136061102,33
公分,52155902,33
機能,49211022,33
防疫,38162221,33
病毒,46902376,33
時尚,49397353,32
市價,77609916,32
聲音,49600632,32
耳機,67775665,32
日本,18359957,32
機身,83422859,32
智能,48744116,32
快充,57814658,32
韓國,36860391,32
皮革,123895467,32
明信片,9320018,31
健康,27930066,31
不鏽鋼,121804866,31
潑水,64565330,31
充電器,56094998,31
工藝,33981327,31
減壓,22311831,31
角色,30297502,30
操作,92891174,30
風味,55685011,30
售價,48570093,30
測試,57016237,30
藍牙,95508193,30
設備,71841383,30
戶外,43633447,30
大學,12030302,30
功能,60486234,29
階段,47517585,29
植物,32544466,29
拍攝,19573948,29
配戴,57479817,29
異味,76715372,29
消毒,48877694,29
插畫,33617098,29
新型,24055342,28
料理,43404704,28
相機,99067316,28
地球,36068235,28
音量,57538366,28
臺灣,76939182,28
回饋品,31551144,28
萃取,27802745,28
食品級,37673284,27
海洋,24023363,27
玻璃,65770718,27
顯示,32433935,27
系統,48085631,27
體積,78828604,27
老師,21024773,27
公克,14858862,27
保濕,4854786,27
背帶,35957678,27
吸管,67013401,26
影像,66751731,26
營養,16783188,26
晶片,51386838,26
保養,33061615,26
支撐,47901512,26
切換,46119138,26
保護,27264995,26
醫療,23769213,26
限量,28956170,26
手工,17217371,26
有機,12093141,26
濾網,97012697,26
貼紙,20031240,26
麥克風,68475058,26
香氣,23918785,26
配件,67935036,25
收納袋,18717647,25
食品,13776471,25
優惠,50583196,25
塑膠,56742779,25
藍芽,42539617,25
功率,92498470,25
配方,8001740,25
平板,50167114,25
角度,41997875,25
衣服,65319850,25
維修,111413378,25
加購,87348370,25
食物,34908529,25
按摩,48477022,25
睡眠,39405361,25
限定,28504683,25
奈米,43981366,25
畫面,88712100,25
循環,35014979,25
安全,41640454,25
兒童,61100176,24
家庭,88076321,24
學生,2663234,24
設定,26742227,24
電腦,37108080,24
公益,28939823,24
城市,6610062,24
桌面,45207987,24
音響,53927123,24
語音,55820590,24
檢測,16316484,24
香氛,18509414,24
質感,13267948,23
組裝,49002711,23
食材,46065447,23
舒緩,50931981,23
夾層,23319320,23
衣物,67957282,23
服務,54012384,23
書寫,40700938,23
德國,27603107,23
療癒,24152086,23
分解,63750383,23
彈性,17986639,23
表演,1744010,23
除臭,62230692,23
底座,32930194,23
電源,35971397,23
方法,8588978,23
控制,67669099,23
演出,2747227,23
主機,71663422,23
現省,35738358,23
防護,24194499,23
皮膚,17343789,23
壓力,10759294,23
效率,58832141,23
充電線,37362236,23
鞋子,54222638,23
土地,15548458,22
訓練,23893119,22
鋁合金,52743524,22
原料,10384945,22
有限公司,66433065,22
高度,32893590,22
旅遊,25222420,22
生物,9375802,22
玫瑰,11063072,22
可愛,34259069,22
輕薄,85114686,22
身高,52437172,22
卡牌,40001170,22
用品,42770036,22
鑑賞期,33063426,22
柔軟,26123594,21
經費,4107485,21
協會,11838092,21
美食,51510897,21
基金會,7338600,21
永續,7628446,21
集資,103276911,21
淨化,36962943,21
試驗,41914402,21
工具,34377531,21
美國,53133539,21
友善,29740240,21
出貨,32055197,21
添加,13672286,21
加熱,41337581,21
原創,10644782,21
資源,16056314,21
視覺,23088889,21
多功能,41433862,21
定價,33581628,21
擴充,57792506,20
電動,36231750,20
中文,46561276,20
溫和,7932001,20
紀錄,46295492,20
眼睛,31208191,20
教學,46060837,20
展覽,3242967,20
穿著,36313069,20
